N,P,K,temperature,humidity,ph,rainfall,label,yield_estimate
111.5160181604326,30.68087058126293,160.93820005455385,28.889755528127044,52.341616745408835,4.139839461235218,147.67119196651106,mungbean,4002.2516668341314
99.13016089144637,7.881829201412343,198.98197043239887,37.13549242801476,32.26116351833175,4.663679790125444,70.9864537392546,blackgram,3825.4534577572263
0.9892827307604368,8.228739505798206,109.95493205167783,21.995134010033944,18.013247036370927,9.73203532058534,84.71043263962457,coffee,2543.6386071969246
53.54467877740278,142.65232401295034,98.35257864959598,38.09791423577122,72.50644831854905,6.3831952126050755,23.687659202442894,coconut,7653.210534109116
113.17562873630456,47.645927684271896,24.534422801276776,31.94815592792549,51.85311446160571,4.281044703006584,157.6591810109331,watermelon,2206.3311266913106
54.748485060253714,30.513052290328726,156.0722820635305,22.880455607193564,31.88298300666424,7.133282098047946,28.705095302645287,watermelon,7053.708647569991
131.5298518189865,130.27582905987083,124.57999576221702,40.265598225809086,21.610355176465077,4.7542903194825294,32.57318631712958,mango,3951.981984579586
104.62481541923331,80.55689853447117,122.35023313276965,41.78393575424483,66.20494530105489,5.266394764944278,102.36403458573491,apple,2991.6016343780148
59.27620729889175,60.28341254457976,63.697634943607625,8.492793795027955,31.100446751637243,8.05258849759136,239.66880026767518,mungbean,5635.759848686068
50.18520199619817,21.22166833351816,177.6206851751187,29.815434438964527,42.45723013732783,3.906773441830551,106.4530854369541,pomegranate,3951.0999321604822
82.7816902790818,43.461051018608984,117.24868516954022,21.402440616382645,97.56724020346292,8.933048475302936,220.64080688383476,chickpea,3415.909518493734
69.1313834910147,78.18259611347916,90.50820367170992,8.88966943604333,23.278662721424183,3.701146788395099,196.92209433133095,watermelon,3886.1358864579597
127.05930634965303,39.900912080842495,87.07658460712595,34.44428984900671,33.676642232279534,3.9926714229042752,100.55090391002751,kidneybeans,2967.3277235240266
87.40956673873106,46.38871601727996,26.09885196605412,23.97870996690186,32.78587760064769,6.165663666370344,265.5519119794454,maize,3946.0701260316437
